Restaurant Name,Menu Item,Type,Calories
Chick-fil-A,Grilled Market Salad,Salad,330
Chick-fil-A,Cobb Salad,Salad,510
Chick-fil-A,Chick-fil-A Nuggets (8),Nuggets,260
Chick-fil-A,Chick-fil-A Nuggets (12),Nuggets,390
Chick-fil-A,Grilled Chicken Sandwich,Sandwich,310
Chick-fil-A,Chick-fil-A Chicken Sandwich,Sandwich,440
Chick-fil-A,Spicy Chicken Sandwich,Sandwich,450
Chick-fil-A,Waffle Potato Fries,Side,460
Chick-fil-A,Chocolate Chunk Cookie,Dessert,300
Chick-fil-A,Chick-n-Minis (4),Breakfast,370
Chick-fil-A,Hash Browns,Breakfast,240
Chick-fil-A,Chick-fil-A Chicken Biscuit,Breakfast,440
Chick-fil-A,Hot Buttered Biscuit,Breakfast,310
Chick-fil-A,"Bacon, Egg & Cheese Biscuit",Breakfast,460
Chick-fil-A,"Sausage, Egg & Cheese Biscuit",Breakfast,670
Chick-fil-A,Hand Spun Milkshake (Small),Dessert,500
Chick-fil-A,Hand Spun Milkshake (Large),Dessert,620
Chick-fil-A,Frosted Lemonade (Small),Dessert,290
Chick-fil-A,Frosted Lemonade (Large),Dessert,330
Panda Express,Beijing Beef,Beef,470
Panda Express,Black Pepper Chicken,Chicken,280
Panda Express,Broccoli Beef,Beef,150
Panda Express,Chicken Egg Roll,Appetizer,200
Panda Express,Chocolate Chip Chunk Cookie,Cookie,300
Panda Express,Chow Mein,Side,510
Panda Express,Cream Cheese Rangoon,Appetizer,190
Panda Express,Crispy Shrimp,Seafood,130
Panda Express,Fried Rice,Side,520
Panda Express,Honey Sesame Chicken Breast,Chicken,380
Panda Express,Honey Walnut Shrimp,Seafood,360
Panda Express,Kung Pao Chicken,Chicken,290
Panda Express,Mixed Vegetables,Side,80
Panda Express,Mixed Vegetables,Vegetables,120
Panda Express,Mushroom Chicken,Chicken,170
Panda Express,Orange Chicken,Chicken,380
Panda Express,Shanghai Angus Steak,Beef,310
Panda Express,String Bean Chicken Breast,Chicken,190
Panda Express,SweetFire Chicken Breast,Chicken,380
Panda Express,Teriyaki Chicken,Chicken,340
Panda Express,Vegetable Spring Roll,Appetizer,190
Panda Express,White Steamed Rice,Side,380
Smoothie King ,Immune Builder (Orange) (Small),Immune Builders,390
Smoothie King ,Immune Builder (Orange) (Medium),Immune Builders,540
Smoothie King ,Immune Builder (Orange) (Large),Immune Builders,720
Smoothie King ,Immune Builder (Mixed Berry) (Small),Immune Builders,310
Smoothie King ,Immune Builder (Mixed Berry) (Medium),Immune Builders,465
Smoothie King ,Immune Builder (Mixed Berry) (Large),Immune Builders,620
Smoothie King ,Blueberry Heaven (Small),Wellness Blend,325
Smoothie King ,Blueberry Heaven (Medium),Wellness Blend,487.5
Smoothie King ,Blueberry Heaven (Large),Wellness Blend,650
Smoothie King ,Acai Adventure (Small),Wellness Blend,450
Smoothie King ,Acai Adventure (Medium),Wellness Blend,652.5
Smoothie King ,Acai Adventure (Large),Wellness Blend,870
Smoothie King ,Acai Adventure (Skinny) (Small),Wellness Blend,385
Smoothie King ,Acai Adventure (Skinny) (Medium),Wellness Blend,577.5
Smoothie King ,Acai Adventure (Skinny) (Large),Wellness Blend,770
Smoothie King ,Berry Punch (Small),Wellness Blend,300
Smoothie King ,Berry Punch (Medium),Wellness Blend,540
Smoothie King ,Berry Punch (Large),Wellness Blend,720
Smoothie King ,Mangosteen Madness (Small),Wellness Blend,380
Smoothie King ,Mangosteen Madness (Medium),Wellness Blend,570
Smoothie King ,Mangosteen Madness (Large),Wellness Blend,760
Smoothie King ,Mangosteen Madness (Skinny) (Small),Wellness Blend,280
Smoothie King ,Mangosteen Madness (Skinny) (Medium),Wellness Blend,420
Smoothie King ,Mangosteen Madness (Skinny) (Large),Wellness Blend,560
Smoothie King ,Apple Kiwi Kale (Small),Veggie Blend,277
Smoothie King ,Apple Kiwi Kale (Medium),Veggie Blend,416
Smoothie King ,Apple Kiwi Kale (Large),Veggie Blend,554
Smoothie King ,Berry Carrot Dream (Small),Veggie Blend,278
Smoothie King ,Berry Carrot Dream (Medium),Veggie Blend,417
Smoothie King ,Berry Carrot Dream (Large),Veggie Blend,556
Smoothie King ,Carrot Kale Dream (Small),Veggie Blend,222
Smoothie King ,Carrot Kale Dream (Medium),Veggie Blend,333
Smoothie King ,Carrot Kale Dream (Large),Veggie Blend,444
Smoothie King ,Mango Dream (Small),Pure Recharge,290
Smoothie King ,Mango Dream (Medium),Pure Recharge,430
Smoothie King ,Mango Dream (Large),Pure Recharge,570
Smoothie King ,Strawberry (Small),Pure Recharge,290
Smoothie King ,Strawberry (Medium),Pure Recharge,430
Smoothie King ,Strawberry (Large),Pure Recharge,570
Smoothie King ,Raspberry Collider (Small),Wellness Blend,340
Smoothie King ,Raspberry Collider (Medium),Wellness Blend,510
Smoothie King ,Raspberry Collider (Large),Wellness Blend,680
Smoothie King ,Mango Kale (Small),Meal Replacements,320
Smoothie King ,Mango Kale (Medium),Meal Replacements,490
Smoothie King ,Mango Kale (Large),Meal Replacements,640
Smoothie King ,Dark Chocolate Banana (Small),Meal Replacements,330
Smoothie King ,Dark Chocolate Banana (Medium),Meal Replacements,490
Smoothie King ,Dark Chocolate Banana (Large),Meal Replacements,650
Smoothie King ,Nutty Super Grain (Small),Meal Replacements,440
Smoothie King ,Nutty Super Grain (Medium),Meal Replacements,660
Smoothie King ,Nutty Super Grain (Large),Meal Replacements,880
Smoothie King ,Green Tea Tango (Small),Meal Replacements,498
Smoothie King ,Green Tea Tango (Medium),Meal Replacements,747
Smoothie King ,Green Tea Tango (Large),Meal Replacements,996
Smoothie King ,Banana Boat (Small),Meal Replacements,477
Smoothie King ,Banana Boat (Medium),Meal Replacements,699
Smoothie King ,Banana Boat (Large),Meal Replacements,954
Smoothie King ,Yogurt D-Lite (Small),Meal Replacements,250
Smoothie King ,Yogurt D-Lite (Medium),Meal Replacements,825
Smoothie King ,Yogurt D-Lite (Large),Meal Replacements,1100
Smoothie King ,Caribbean Way (Small),Take-A-Break Blends,395
Smoothie King ,Caribbean Way (Medium),Take-A-Break Blends,595
Smoothie King ,Caribbean Way (Large),Take-A-Break Blends,790
Smoothie King ,Pineapple Surf (Small),Take-A-Break Blends,461
Smoothie King ,Pineapple Surf (Medium),Take-A-Break Blends,737
Smoothie King ,Pineapple Surf (Large),Take-A-Break Blends,922
Smoothie King ,Strawberry-Kiwi Breeze (Small),Take-A-Break Blends,376
Smoothie King ,Strawberry-Kiwi Breeze (Medium),Take-A-Break Blends,564
Smoothie King ,Strawberry-Kiwi Breeze (Large),Take-A-Break Blends,752
Smoothie King ,Peach Size Plus (Small),Take-A-Break Blends,400
Smoothie King ,Peach Size Plus (Medium),Take-A-Break Blends,600
Smoothie King ,Peach Size Plus (Large),Take-A-Break Blends,800
Smoothie King ,Lemon Twist Strawberry (Small),Take-A-Break Blends,398
Smoothie King ,Lemon Twist Strawberry (Medium),Take-A-Break Blends,597
Smoothie King ,Lemon Twist Strawberry (Large),Take-A-Break Blends,796
Smoothie King ,Passion Passport (Small),Take-A-Break Blends,390
Smoothie King ,Passion Passport (Medium),Take-A-Break Blends,590
Smoothie King ,Passion Passport (Large),Take-A-Break Blends,780
Smoothie King ,Banana Berry Treat (Small),Take-A-Break Blends,360
Smoothie King ,Banana Berry Treat (Medium),Take-A-Break Blends,540
Smoothie King ,Banana Berry Treat (Large),Take-A-Break Blends,720
Smoothie King ,Muscle Punch (Small),Take-A-Break Blends,360
Smoothie King ,Muscle Punch (Medium),Take-A-Break Blends,540
Smoothie King ,Muscle Punch (Large),Take-A-Break Blends,720
Smoothie King ,Gladiator (Vanilla) (Small),Meal Replacements,730
Smoothie King ,Gladiator (Vanilla) (Medium),Meal Replacements,990
Smoothie King ,Gladiator (Vanilla) (Large),Meal Replacements,1240
Smoothie King ,Gladiator (Chocolate) (Small),Meal Replacements,730
Smoothie King ,Gladiator (Chocolate) (Medium),Meal Replacements,990
Smoothie King ,Gladiator (Chocolate) (Large),Meal Replacements,1240
Smoothie King ,Gladiator (Strawberry) (Small),Meal Replacements,730
Smoothie King ,Gladiator (Strawberry) (Medium),Meal Replacements,990
Smoothie King ,Gladiator (Strawberry) (Large),Meal Replacements,1240
Smoothie King ,The Hulk (Vanilla) (Small),Meal Replacements,910
Smoothie King ,The Hulk (Vanilla) (Medium),Meal Replacements,1360
Smoothie King ,The Hulk (Vanilla) (Large),Meal Replacements,1810
Smoothie King ,The Hulk (Chocolate) (Small),Meal Replacements,910
Smoothie King ,The Hulk (Chocolate) (Medium),Meal Replacements,1360
Smoothie King ,The Hulk (Chocolate) (Large),Meal Replacements,1810
Smoothie King ,The Hulk (Strawberry) (Small),Meal Replacements,910
Smoothie King ,The Hulk (Strawberry) (Medium),Meal Replacements,1360
Smoothie King ,The Hulk (Strawberry) (Large),Meal Replacements,1810
Smoothie King ,Coffee High Protein (Vanilla) (Small),Meal Replacements,420
Smoothie King ,Coffee High Protein (Vanilla) (Medium),Meal Replacements,630
Smoothie King ,Coffee High Protein (Vanilla) (Large),Meal Replacements,840
Smoothie King ,Coffee High Protein (Almond Mocha) (Small),Meal Replacements,420
Smoothie King ,Coffee High Protein (Almond Mocha) (Medium),Meal Replacements,630
Smoothie King ,Coffee High Protein (Almond Mocha) (Large),Meal Replacements,840
Smoothie King ,Original High Protein (Chocolate) (Small),Meal Replacements,420
Smoothie King ,Original High Protein (Chocolate) (Medium),Meal Replacements,630
Smoothie King ,Original High Protein (Chocolate) (Large),Meal Replacements,840
Smoothie King ,Original High Protein (Banana) (Small),Meal Replacements,420
Smoothie King ,Original High Protein (Banana) (Medium),Meal Replacements,630
Smoothie King ,Original High Protein (Banana) (Large),Meal Replacements,840
Smoothie King ,Original High Protein (Pineapple) (Small),Meal Replacements,420
Smoothie King ,Original High Protein (Pineapple) (Medium),Meal Replacements,630
Smoothie King ,Original High Protein (Pineapple) (Large),Meal Replacements,840
Smoothie King ,Original High Protein (Lemon) (Small),Meal Replacements,420
Smoothie King ,Original High Protein (Lemon) (Medium),Meal Replacements,630
Smoothie King ,Original High Protein (Lemon) (Large),Meal Replacements,840
Smoothie King ,The Activator (Strawberry Banana) (Small),Meal Replacements,270
Smoothie King ,The Activator (Strawberry Banana) (Medium),Meal Replacements,410
Smoothie King ,The Activator (Strawberry Banana) (Large),Meal Replacements,530
Smoothie King ,The Activator (Pineapple) (Small),Meal Replacements,300
Smoothie King ,The Activator (Pineapple) (Medium),Meal Replacements,450
Smoothie King ,The Activator (Pineapple) (Large),Meal Replacements,600
Smoothie King ,The Activator (Blueberry Strawberry) (Small),Meal Replacements,300
Smoothie King ,The Activator (Blueberry Strawberry) (Medium),Meal Replacements,450
Smoothie King ,The Activator (Blueberry Strawberry) (Large),Meal Replacements,600
Smoothie King ,The Activator (Chocolate) (Small),Meal Replacements,220
Smoothie King ,The Activator (Chocolate) (Medium),Meal Replacements,320
Smoothie King ,The Activator (Chocolate) (Large),Meal Replacements,420
Smoothie King ,Power Punch Plus (Small),Meal Replacements,430
Smoothie King ,Power Punch Plus (Medium),Meal Replacements,640
Smoothie King ,Power Punch Plus (Large),Meal Replacements,850
Smoothie King ,Peanut Power Plus (Small),Meal Replacements,660
Smoothie King ,Peanut Power Plus (Medium),Meal Replacements,1000
Smoothie King ,Peanut Power Plus (Large),Meal Replacements,1320
Smoothie King ,Lean1 (Small),Meal Replacements,340
Smoothie King ,Lean1 (Medium),Meal Replacements,510
Smoothie King ,Lean1 (Large),Meal Replacements,680
Smoothie King ,Greek Yogurt (Strawberry Blueberry) (Small),Meal Replacements,310
Smoothie King ,Greek Yogurt (Strawberry Blueberry) (Medium),Meal Replacements,490
Smoothie King ,Greek Yogurt (Strawberry Blueberry) (Large),Meal Replacements,620
Smoothie King ,Greek Yogurt (Pineapple Mango) (Small),Meal Replacements,290
Smoothie King ,Greek Yogurt (Pineapple Mango) (Medium),Meal Replacements,440
Smoothie King ,Greek Yogurt (Pineapple Mango) (Large),Meal Replacements,580
Smoothie King ,Greek Yogurt (Peach Papaya) (Small),Meal Replacements,340
Smoothie King ,Greek Yogurt (Peach Papaya) (Medium),Meal Replacements,510
Smoothie King ,Greek Yogurt (Peach Papaya) (Large),Meal Replacements,680
Smoothie King ,Slim-N-Trim (Small),Meal Replacements,250
Smoothie King ,Slim-N-Trim (Medium),Meal Replacements,370
Smoothie King ,Slim-N-Trim (Large),Meal Replacements,500
Smoothie King ,The Shredder (Small),Meal Replacements,356
Smoothie King ,The Shredder (Medium),Meal Replacements,534
Smoothie King ,The Shredder (Large),Meal Replacements,712
Smoothie King ,Angel Food (Small),Slim Blends,350
Smoothie King ,Angel Food (Medium),Slim Blends,525
Smoothie King ,Angel Food (Large),Slim Blends,700
Smoothie King ,Island Impact (Small),Slim Blends,290
Smoothie King ,Island Impact (Medium),Slim Blends,430
Smoothie King ,Island Impact (Large),Slim Blends,570
Smoothie King ,Mangofest (Small),Slim Blends,280
Smoothie King ,Mangofest (Medium),Slim Blends,430
Smoothie King ,Mangofest (Large),Slim Blends,570
Smoothie King ,Strawberry X-Treme (Small),Slim Blends,320
Smoothie King ,Strawberry X-Treme (Medium),Slim Blends,480
Smoothie King ,Strawberry X-Treme (Large),Slim Blends,640
Smoothie King ,Diet Down,Additionals,15
Smoothie King ,Energy Boost,Additionals,20
Smoothie King ,Fiber Blend,Additionals,15
Smoothie King ,Herbal Immune,Additionals,30
Smoothie King ,Multi-Vitamin,Additionals,20
Smoothie King ,Muscle Builder,Additionals,5
Smoothie King ,Probiotic,Additionals,5
Smoothie King ,Pure Recharge,Additionals,0
Smoothie King ,Super Grains,Additionals,30
Smoothie King ,Almond Milk,Additionals,5
Smoothie King ,Almonds,Additionals,100
Smoothie King ,Butter Pecan Ice Cream,Additionals,180
Smoothie King ,Cocoa,Additionals,20
Smoothie King ,Coconut Water,Additionals,10
Smoothie King ,Cold Brew Coffee,Additionals,5
Smoothie King ,Frozen Yogurt,Additionals,120
